airport_id;airport_name;airport_latitude;airport_longitude;airport_city;airport_country_iso;airport_continent_iso
SYT;Saint-Yan Airport;46,41249847412109;4,0132598876953125;Saint-Yan;FR;EU
RNE;Roanne-Renaison Airport;46,05830001831055;4,001389980316162;Roanne/Renaison;FR;EU
NCY;Annecy-Haute-Savoie-Mont Blanc Airport;45,9308333;6,1063889;Annecy/Meythet;FR;EU
GNB;Grenoble-Isère Airport;45,3629;5,32937;Saint-Étienne-de-Saint-Geoirs;FR;EU
VAF;Valence-Chabeuil Airport;44,9216;4,9699;Valence/Chabeuil;FR;EU
VHY;Vichy-Charmeil Airport;46,169700622558594;3,4037399291992188;Vichy/Charmeil;FR;EU
AUR;Aurillac Airport;44,89139938354492;2,4219400882720947;Aurillac;FR;EU
CHR;"Châteauroux-Déols ""Marcel Dassault"" Airport";46,860278;1,721111;Châteauroux/Déols;FR;EU
LYN;Lyon-Bron Airport;45,72719955444336;4,944270133972168;Lyon/Bron;FR;EU
CEQ;Cannes-Mandelieu Airport;43,542;6,95348;Cannes;FR;EU
EBU;Saint-Étienne-Bouthéon Airport;45,54059982299805;4,296390056610107;Saint-Étienne/Bouthéon;FR;EU
CCF;Carcassonne Airport;43,21599960327149;2,3063199520111084;Carcassonne/Salvaza;FR;EU
MRS;Marseille Provence Airport;43,439271922;5,22142410278;Marseille;FR;EU
NCE;Nice-Côte d'Azur Airport;43,6584014893;7,215869903560001;Nice;FR;EU
PGF;Perpignan-Rivesaltes (Llabanère) Airport;42,74039840698242;2,8706700801849365;Perpignan/Rivesaltes;FR;EU
CTT;Le Castellet Airport;43,25249862670898;5,785190105438232;Le Castellet;FR;EU
BAE;Barcelonnette - Saint-Pons Airfield;44,387198;6,609186;Le Castellet;FR;EU
MPL;Montpellier-Méditerranée Airport;43,57619857788086;3,96301007270813;Montpellier/Méditerranée;FR;EU
BZR;Béziers-Vias Airport;43,32350158691406;3,353899955749512;Béziers/Vias;FR;EU
AVN;Avignon-Caumont Airport;43,90729904174805;4,901830196380615;Avignon/Caumont;FR;EU
GAT;Gap - Tallard Airfield;44,455002;6,03778;;FR;EU
MEN;Mende-Brenoux Airfield;44,502102;3,53282;Mende/Brénoux;FR;EU
SCP;Mont-Dauphin - St-Crépin Airfield;44,701698;6,60028;;FR;EU
BVA;Paris Beauvais Tillé Airport;49,454399;2,11278;Beauvais;FR;EU
EVX;Évreux-Fauville (BA 105) Air Base;49,02870178222656;1,219859957695007;Évreux/Fauville;FR;EU
LEH;Le Havre Octeville Airport;49,53390121459961;0,0880559980869293;Le Havre/Octeville;FR;EU
XCR;Châlons-Vatry Airport;48,773333;4,206111;Vatry;FR;EU
LSO;Les Sables-d'Olonne Talmont Airport;46,476898193359375;-1,7227799892425537;Les Sables-d'Olonne;FR;EU
URO;Rouen Airport;49,38420104980469;1,1748000383377075;Rouen/Vallée de Seine;FR;EU
TUF;Tours-Val-de-Loire Airport;47,4322013855;0,727605998516;Tours/Val de Loire (Loire Valley);FR;EU
CET;Cholet Le Pontreau Airport;47,08209991455078;-0,8770639896392822;Cholet/Le Pontreau;FR;EU
LVA;Laval-Entrammes Airport;48,03139877319336;-0,7429860234260559;Laval/Entrammes;FR;EU
ORE;Orléans – Saint-Denis-de-l'Hôtel Airport;47,8969;2,16333;Orléans;FR;EU
LBG;Paris-Le Bourget Airport;48,96939849853516;2,441390037536621;Paris;FR;EU
CSF;Creil Air Base;49,25350189208984;2,5191400051116943;Creil;FR;EU
CDG;Charles de Gaulle International Airport;49,012798;2,55;Paris;FR;EU
JDP;Paris Issy-les-Moulineaux Heliport;48,83330154418945;2,272779941558838;Issy-les-Moulineaux;FR;EU
TNF;Toussus-le-Noble Airport;48,75189971923828;2,1061899662017822;Toussus-le-Noble;FR;EU
ORY;Paris-Orly Airport;48,7233333;2,3794444;Paris;FR;EU
POX;Aérodrome de Pontoise - Cormeilles en Vexin;49,096667;2,040833;Cormeilles-en-Vexin;FR;EU
VIY;Villacoublay-Vélizy (BA 107) Air Base;48,7741667;2,1916667;Villacoublay/Vélizy;FR;EU
NVS;Nevers-Fourchambault Airport;47,00260162353516;3,1133298873901367;Nevers/Fourchambault;FR;EU
LIL;Lille-Lesquin Airport;50,563332;3,086886;Lille/Lesquin;FR;EU
HZB;Merville-Calonne Airport;50,61840057373047;2,642240047454834;Merville/Calonne;FR;EU
BES;Brest Bretagne Airport;48,447898864746094;-4,418540000915527;Brest/Guipavas;FR;EU
CER;Cherbourg-Maupertus Airport;49,65010070800781;-1,4702800512313845;Cherbourg/Maupertus;FR;EU
DNR;Dinard-Pleurtuit-Saint-Malo Airport;48,58769989013672;-2,0799601078033447;Dinard/Pleurtuit/Saint-Malo;FR;EU
LBY;La Baule-Escoublac Airport;47,289398193359375;-2,346390008926392;La Baule-Escoublac;FR;EU
GFR;Granville Airport;48,88309860229492;-1,564170002937317;Granville;FR;EU
DOL;Deauville-Saint-Gatien Airport;49,365299;0,154306;Deauville;FR;EU
LRT;Lorient South Brittany (Bretagne Sud) Airport;47,76060104370117;-3,440000057220459;Lorient/Lann/Bihoué;FR;EU
EDM;La Roche-sur-Yon Airport;46,70190048217773;-1,3786300420761108;La Roche-sur-Yon/Les Ajoncs;FR;EU
LDV;Landivisiau Air Base;48,53030014038086;-4,151639938354492;Landivisiau;FR;EU
CFR;Caen-Carpiquet Airport;49,173302;-0,45;Caen/Carpiquet;FR;EU
LME;Le Mans-Arnage Airport;47,94860076904297;0,2016669958829879;Le Mans/Arnage;FR;EU
RNS;Rennes-Saint-Jacques Airport;48,0695;-1,73479;Rennes/Saint-Jacques;FR;EU
LAI;Lannion-Côte de Granit Airport;48,754398;-3,47166;Lannion;FR;EU
UIP;Quimper-Cornouaille Airport;47,97499847412109;-4,167789936065674;Quimper/Pluguffan;FR;EU
NTE;Nantes Atlantique Airport;47,153198242200006;-1,61073005199;Nantes;FR;EU
SBK;Saint-Brieuc-Armor Airport;48,5378;-2,85444;Saint-Brieuc/Armor;FR;EU
MXN;Morlaix-Ploujean Airport;48,6031990051;-3,81577992439;Morlaix/Ploujean;FR;EU
VNE;Vannes-Meucon Airport;47,72330093383789;-2,718559980392456;Vannes/Meucon;FR;EU
SNR;Saint-Nazaire-Montoir Airport;47,3105556;-2,1566667;Saint-Nazaire/Montoir;FR;EU
BSL;EuroAirport Basel-Mulhouse-Freiburg Airport;47,59;7,529167;Bâle/Mulhouse;FR;EU
DIJ;Dijon-Bourgogne Airport;47,268902;5,09;Dijon/Longvic;FR;EU
MZM;Metz-Frescaty (BA 128) Air Base;49,071701;6,13167;Metz/Frescaty;FR;EU
EPL;Épinal-Mirecourt Airport;48,325001;6,06998;Épinal/Mirecourt;FR;EU
BVE;Brive-Souillac;45,039722;1,485556;Brive la Gaillarde;FR;EU
ENC;Nancy-Essey Airport;48,69210052490234;6,230460166931152;Nancy/Essey;FR;EU
BOR;Aéroparc de Belfort-Fontaine;47,655602;7,01083;Belfort;FR;EU
RHE;Reims-Champagne (BA 112) Air Base;49,310001;4,05;Reims/Champagne;FR;EU
SXB;Strasbourg Airport;48,53829956054688;7,628230094909668;Strasbourg;FR;EU
VTL;Champ de Courses Airfield;48,2239;5,93528;Vittel;FR;EU
TLN;Toulon-Hyères Airport;43,0973014832;6,14602994919;Toulon/Hyères/Le Palyvestre;FR;EU
FNI;Nîmes-Arles-Camargue Airport;43,75740051269531;4,4163498878479;Nîmes/Garons;FR;EU
LTT;La Môle Airport;43,205399;6,482;La Môle;FR;EU
PYR;Andravida Air Base;37,9207;21,292601;Andravida;GR;EU
AGQ;Agrinion Air Base;38,602001;21,3512;Agrinion;GR;EU
AXD;Alexandroupoli Democritus Airport;40,8559;25,956301;Alexandroupolis;GR;EU
ATH;Athens Eleftherios Venizelos International Airport;37,936401;23,9445;Athens;GR;EU
VOL;Nea Anchialos National Airport;39,219601;22,7943;Nea Anchialos;GR;EU
LGE;Mulan Airport;-20,1089;127,619;Lake Gregory;AU;OC
