station_id;station_name;station_latitud;station_longitud
55012;Cortes de La Frontera;36,597364;-5,332784
55011;Jimera de Libar;36,660678;-5,281473
55010;Benaojan-Montejaque;36,713753;-5,246366
55003;Almargen-Canyete La Real;37,000985;-5,020111
55001;Campillos;37,032231;-4,863499
54400;Bobadilla;37,037073;-4,727942
42008;Jabugo-Galaroza;37,928243;-6,773908
42020;Gibraleon;37,36852;-6,96207
42019;Belmonte;37,461864;-6,947533
42018;El Cobujon;37,516509;-6,953428
42016;Los Milanos;37,586219;-6,919938
42015;Calanyas;37,652007;-6,875841
42013;El Tamujoso;37,720339;-6,900554
42012;Valdelamusa;37,787111;-6,873729
42009;Almonaster-Cortegana;37,901174;-6,797372
40100;Zafra;38,413635;-6,405083
42006;Cumbres Mayores;38,053126;-6,631553
42005;Fregenal de La Sierra;38,167613;-6,637909
50413;Alcolea de Cordoba (apt);37,922326;-4,694751
50417;Campus Universitario Rabanales/ Cordoba;37,91256;-4,72086
50502;Villarrubia de Cordoba;37,847574;-4,915339
50501;El Higueron (apt);37,870271;-4,838942
54405;Alora;36,819825;-4,6994424
54404;Las Mellizas;36,873306;-4,719433
54403;El Chorro;36,907335;-4,759258
1009;Pedrera;37,222396;-4,893519
56305;Gergal;37,108847;-2,591556
56103;Benalua de Guadix;37,345277;-3,163177
57003;Iznalloz;37,395852;-3,527947
60914;Universidad de Alicante;38,3847998;-0,528108
60913;Sant Vicent Centre;38,3972495;-0,5326435
65400;Tortosa;40,807339;0,522937
65003;Valencia-Cabanyal;39,4689527;-0,3345694
65208;Vila-Real;39,9330222;-0,0967722
65306;Torreblanca;40,212211;0,198779
65308;Alcala de Xivert;40,30469;0,228717
65314;Ulldecona -Alcanar-La Senia;40,595924;0,44927
65209;Almassora/almazora;39,9548444;-0,0767722
65207;Burriana-Alquerias Ninyo Perdido;39,8964287;-0,1038666
65206;Nules-La Vilavella;39,8531222;-0,1527555
65204;Chilches;39,7825944;-0,1903333
65202;Almenara;39,7487555;-0,2183805
65008;Pucol;39,6171903;-0,3048578
65007;El Puig;39,5882111;-0,3116472
65005;Albuixech;39,5433;-0,3205777
65002;Valencia F.s.l-Hospital La Fe;39,4414666;-0,3698944
62001;Beniel;38,0447361;-0,9994472
62003;Callosa de Segura;38,1235694;-0,8732888
62100;Albatera-Catral;38,1670972;-0,8383583
62101;Crevillent;38,2245805;-0,7817972
62102;Elche/elx Carrus;38,2690055;-0,7063555
62104;Torrellano;38,2896027;-0,5825138
62109;Sant Gabriel;38,3287722;-0,5089444
60907;Novelda-Aspe;38,407086;-0,777744
60904;Sax;38,544251;-0,813729
