route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id                                                                                                                                                                                                                                                                      
2230871801GL023,2022-09-012022-10-09006211,0062112022-09-01,,00621,,,                                                                                                                                                                                                                                                                                         
2210071801GL023,2022-09-012022-10-09006212,0062122022-09-01,,00621,,,                                                                                                                                                                                                                                                                                         
2230871801GL023,2022-09-012022-10-09006213,0062132022-09-01,,00621,,,                                                                                                                                                                                                                                                                                         
1510071801GL023,2022-09-012022-10-09006214,0062142022-09-01,,00621,,,                                                                                                                                                                                                                                                                                         
7180122308GL023,2022-09-012022-10-09006221,0062212022-09-01,,00622,,,                                                                                                                                                                                                                                                                                         
7180122100GL023,2022-09-012022-10-09006222,0062222022-09-01,,00622,,,                                                                                                                                                                                                                                                                                         
7180122308GL023,2022-09-012022-10-09006223,0062232022-09-01,,00622,,,                                                                                                                                                                                                                                                                                         
7180115100GL023,2022-09-012022-10-09006224,0062242022-09-01,,00622,,,                                                                                                                                                                                                                                                                                         
7180104040GL023,2022-09-012022-10-09006225,0062252022-09-01,,00622,,,                                                                                                                                                                                                                                                                                         
1120815100GL023,2022-09-012022-10-09006226,0062262022-09-01,,00622,,,                                                                                                                                                                                                                                                                                         
3141271801GL023,2022-09-012022-10-09006251,0062512022-09-01,,00625,,,                                                                                                                                                                                                                                                                                         
2210071801GL023,2022-09-012022-10-09006252,0062522022-09-01,,00625,,,                                                                                                                                                                                                                                                                                         
3141271801GL023,2022-09-012022-10-09006253,0062532022-09-01,,00625,,,                                                                                                                                                                                                                                                                                         
1510071801GL023,2022-09-012022-10-09006254,0062542022-09-01,,00625,,,                                                                                                                                                                                                                                                                                         
7180131412GL023,2022-09-012022-10-09006261,0062612022-09-01,,00626,,,                                                                                                                                                                                                                                                                                         
7180122100GL023,2022-09-012022-10-09006262,0062622022-09-01,,00626,,,                                                                                                                                                                                                                                                                                         
7180131412GL023,2022-09-012022-10-09006263,0062632022-09-01,,00626,,,                                                                                                                                                                                                                                                                                         
7180115100GL023,2022-09-012022-10-09006264,0062642022-09-01,,00626,,,                                                                                                                                                                                                                                                                                         
7180104040GL023,2022-09-012022-10-09006265,0062652022-09-01,,00626,,,                                                                                                                                                                                                                                                                                         
1120815100GL023,2022-09-012022-10-09006266,0062662022-09-01,,00626,,,                                                                                                                                                                                                                                                                                         
3010071801GL023,2022-09-012022-10-09006311,0063112022-09-01,,00631,,,                                                                                                                                                                                                                                                                                         
0404078400GL023,2022-09-012022-10-09006313,0063132022-09-01,,00631,,,                                                                                                                                                                                                                                                                                         
1120011208GL023,2022-09-012022-10-09006314,0063142022-09-01,,00631,,,                                                                                                                                                                                                                                                                                         
7180130100GL023,2022-09-012022-10-09006321,0063212022-09-01,,00632,,,                                                                                                                                                                                                                                                                                         
7180130100GL023,2022-09-012022-10-09006322,0063222022-09-01,,00632,,,                                                                                                                                                                                                                                                                                         
7840030100GL023,2022-09-012022-10-09006323,0063232022-09-01,,00632,,,                                                                                                                                                                                                                                                                                         
7840011200GL023,2022-09-012022-10-09006324,0063242022-09-01,,00632,,,                                                                                                                                                                                                                                                                                         
5140571801GL026,2022-09-012022-09-05006941,0069412022-09-01,,00694,,,                                                                                                                                                                                                                                                                                         
5140571801GL026,2022-09-062022-09-14006941,0069412022-09-06,,00694,,,                                                                                                                                                                                                                                                                                         
5100371801GL026,2022-09-012022-09-05006942,0069422022-09-01,,00694,,,                                                                                                                                                                                                                                                                                         
5100371801GL026,2022-09-062022-09-14006942,0069422022-09-06,,00694,,,                                                                                                                                                                                                                                                                                         
7180151405GL026,2022-09-012022-09-05006971,0069712022-09-01,,00697,,,                                                                                                                                                                                                                                                                                         
7180151405GL026,2022-09-062022-09-14006971,0069712022-09-06,,00697,,,                                                                                                                                                                                                                                                                                         
7180151003GL026,2022-09-012022-09-05006972,0069722022-09-01,,00697,,,                                                                                                                                                                                                                                                                                         
7180151003GL026,2022-09-062022-09-14006972,0069722022-09-06,,00697,,,                                                                                                                                                                                                                                                                                         
