route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id                                                                                                                                                                                                                                                                      
7180131412GL023,2022-07-282022-09-11006263,0062632022-07-28,,00626,,,                                                                                                                                                                                                                                                                                         
7180115100GL023,2022-07-282022-09-11006264,0062642022-07-28,,00626,,,                                                                                                                                                                                                                                                                                         
7180104040GL023,2022-07-282022-09-11006265,0062652022-07-28,,00626,,,                                                                                                                                                                                                                                                                                         
1120815100GL023,2022-07-282022-09-11006266,0062662022-07-28,,00626,,,                                                                                                                                                                                                                                                                                         
3010071801GL023,2022-07-282022-09-18006311,0063112022-07-28,,00631,,,                                                                                                                                                                                                                                                                                         
3010010600GL023,2022-07-282022-09-18006312,0063122022-07-28,,00631,,,                                                                                                                                                                                                                                                                                         
0404078400GL023,2022-07-282022-09-18006313,0063132022-07-28,,00631,,,                                                                                                                                                                                                                                                                                         
1120011208GL023,2022-07-282022-09-18006314,0063142022-07-28,,00631,,,                                                                                                                                                                                                                                                                                         
7180130100GL023,2022-07-282022-09-18006321,0063212022-07-28,,00632,,,                                                                                                                                                                                                                                                                                         
7180130100GL023,2022-07-282022-09-18006322,0063222022-07-28,,00632,,,                                                                                                                                                                                                                                                                                         
7840030100GL023,2022-07-282022-09-18006323,0063232022-07-28,,00632,,,                                                                                                                                                                                                                                                                                         
7840011200GL023,2022-07-282022-09-18006324,0063242022-07-28,,00632,,,                                                                                                                                                                                                                                                                                         
1060030100GL023,2022-07-282022-09-18006325,0063252022-07-28,,00632,,,                                                                                                                                                                                                                                                                                         
5140571801GL026,2022-07-282022-07-31006941,0069412022-07-28,,00694,,,                                                                                                                                                                                                                                                                                         
5140571801GL026,2022-08-012022-09-05006941,0069412022-08-01,,00694,,,                                                                                                                                                                                                                                                                                         
7180151405GL026,2022-07-282022-07-31006971,0069712022-07-28,,00697,,,                                                                                                                                                                                                                                                                                         
7180151405GL026,2022-08-012022-09-05006971,0069712022-08-01,,00697,,,                                                                                                                                                                                                                                                                                         
6000081100GL023,2022-07-282022-12-10007011,0070112022-07-28,,00701,,,                                                                                                                                                                                                                                                                                         
6000081110GL023,2022-07-282022-12-10007012,0070122022-07-28,,00701,,,                                                                                                                                                                                                                                                                                         
8110060000GL023,2022-07-282022-12-10007021,0070212022-07-28,,00702,,,                                                                                                                                                                                                                                                                                         
8111060000GL023,2022-07-282022-12-10007022,0070222022-07-28,,00702,,,                                                                                                                                                                                                                                                                                         
6000081100GL023,2022-07-282022-10-23007051,0070512022-07-28,,00705,,,                                                                                                                                                                                                                                                                                         
8110060000GL023,2022-07-282022-10-23007061,0070612022-07-28,,00706,,,                                                                                                                                                                                                                                                                                         
6000080100GL023,2022-07-282022-10-23008011,0080112022-07-28,,00801,,,                                                                                                                                                                                                                                                                                         
8010060000GL023,2022-07-282022-08-14008021,0080212022-07-28,,00802,,,                                                                                                                                                                                                                                                                                         
8010060000GL023,2022-08-162022-10-11008021,0080212022-08-16,,00802,,,                                                                                                                                                                                                                                                                                         
8010060000GL023,2022-10-132022-10-21008021,0080212022-10-13,,00802,,,                                                                                                                                                                                                                                                                                         
7180160911GL012,2022-09-042022-09-09010711,0107112022-09-04,,01071,,,                                                                                                                                                                                                                                                                                         
7180160911GL012,2022-09-112022-09-14010711,0107112022-09-11,,01071,,,                                                                                                                                                                                                                                                                                         
7180103216GL012,2022-09-152022-09-16010711,0107112022-09-15,,01071,,,                                                                                                                                                                                                                                                                                         
7180103216GL012,2022-09-182022-09-23010711,0107112022-09-18,,01071,,,                                                                                                                                                                                                                                                                                         
7180103216GL012,2022-09-252022-09-30010711,0107112022-09-25,,01071,,,                                                                                                                                                                                                                                                                                         
7180103216GL012,2022-10-022022-10-07010711,0107112022-10-02,,01071,,,                                                                                                                                                                                                                                                                                         
7180103216GL012,2022-10-092022-10-11010711,0107112022-10-09,,01071,,,                                                                                                                                                                                                                                                                                         
7180103216GL012,2022-10-132022-10-14010711,0107112022-10-13,,01071,,,                                                                                                                                                                                                                                                                                         
7180103216GL012,2022-10-162022-10-21010711,0107112022-10-16,,01071,,,                                                                                                                                                                                                                                                                                         
7180103216GL012,2022-10-232022-10-28010711,0107112022-10-23,,01071,,,                                                                                                                                                                                                                                                                                         
